time,lr,fb,ud,mag,raw
2026-05-19 11:31:15.739,2.30,9.60,-0.10,9.90,A:23;96;-1;99
2026-05-19 11:31:16.227,1.60,9.50,-1.10,9.70,A:16;95;-11;97
2026-05-19 11:31:16.711,2.00,9.20,-0.80,9.50,A:20;92;-8;95
2026-05-19 11:31:17.202,2.00,9.40,-1.20,9.70,A:20;94;-12;97
2026-05-19 11:31:17.733,1.90,9.50,-1.40,9.80,A:19;95;-14;98
2026-05-19 11:31:18.217,2.00,9.40,-1.10,9.70,A:20;94;-11;97
2026-05-19 11:31:18.711,2.00,9.50,-1.20,9.80,A:20;95;-12;98
2026-05-19 11:31:19.200,1.90,9.50,-1.30,9.80,A:19;95;-13;98
2026-05-19 11:31:19.736,1.80,9.50,-1.10,9.70,A:18;95;-11;97
2026-05-19 11:31:20.224,1.70,9.50,-1.00,9.70,A:17;95;-10;97
2026-05-19 11:31:20.711,2.00,9.50,-0.90,9.70,A:20;95;-9;97
2026-05-19 11:31:21.244,1.90,9.40,-1.00,9.70,A:19;94;-10;97
2026-05-19 11:31:21.736,1.90,9.50,-1.00,9.70,A:19;95;-10;97
2026-05-19 11:31:22.270,1.80,9.50,-1.00,9.70,A:18;95;-10;97
2026-05-19 11:31:22.709,1.90,9.50,-1.10,9.70,A:19;95;-11;97
2026-05-19 11:31:23.245,2.00,9.50,-1.10,9.70,A:20;95;-11;97
2026-05-19 11:31:23.734,1.90,9.50,-1.10,9.70,A:19;95;-11;97
2026-05-19 11:31:24.221,1.90,9.50,-1.20,9.80,A:19;95;-12;98
2026-05-19 11:31:24.757,1.90,9.50,-1.10,9.70,A:19;95;-11;97
2026-05-19 11:31:25.245,1.80,9.50,-1.00,9.70,A:18;95;-10;97
2026-05-19 11:31:25.724,1.80,9.50,-1.00,9.70,A:18;95;-10;97
2026-05-19 11:31:26.219,1.90,9.50,-1.00,9.70,A:19;95;-10;97
2026-05-19 11:31:26.707,1.90,9.50,-1.00,9.80,A:19;95;-10;98
2026-05-19 11:31:27.244,2.00,9.50,-0.90,9.70,A:20;95;-9;97
2026-05-19 11:31:27.722,2.00,9.60,-0.70,9.80,A:20;96;-7;98
2026-05-19 11:31:28.223,1.60,9.50,-0.80,9.70,A:16;95;-8;97
2026-05-19 11:31:28.696,2.30,9.40,-0.90,9.70,A:23;94;-9;97
